model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.997099492870023,,average_precision,0.3169410228729248,,58.55226254463196,0.3169410228729248,,58.55226254463196,1,True,16
RandomForestGini_FULL,0.9923613168780656,,average_precision,0.3381803035736084,,45.55650448799133,0.3381803035736084,,45.55650448799133,1,True,15
ExtraTreesGini_FULL,0.9782581451066059,,average_precision,0.3475310802459717,,6.366008520126343,0.3475310802459717,,6.366008520126343,1,True,18
ExtraTreesEntr_FULL,0.9629121776355909,,average_precision,0.33141255378723145,,6.044020652770996,0.33141255378723145,,6.044020652770996,1,True,19
LightGBMLarge_FULL,0.9515361518834169,,average_precision,0.20904541015625,,3.5311481952667236,0.20904541015625,,3.5311481952667236,1,True,23
LightGBMXT_FULL,0.8158567045906656,,average_precision,0.25882387161254883,,4.921370506286621,0.25882387161254883,,4.921370506286621,1,True,13
CatBoost_FULL,0.8048318862923083,,average_precision,0.04760289192199707,,20.02168321609497,0.04760289192199707,,20.02168321609497,1,True,17
XGBoost_FULL,0.7811507703654831,,average_precision,0.061510324478149414,,2.0467543601989746,0.061510324478149414,,2.0467543601989746,1,True,21
WeightedEnsemble_L2_FULL,0.7627565787520658,,average_precision,0.9623448848724365,,51.4409544467926,0.033612728118896484,,6.06622314453125,2,True,24
LightGBM_FULL,0.6847219263336392,,average_precision,0.0785219669342041,,1.6645469665527344,0.0785219669342041,,1.6645469665527344,1,True,14
NeuralNetTorch_FULL,0.6548132013238069,,average_precision,0.0908358097076416,,21.828447103500366,0.0908358097076416,,21.828447103500366,1,True,22
WeightedEnsemble_L2,0.5730283256165903,0.5730283256165902,average_precision,0.7403299808502197,0.5781459808349609,158.0108802318573,0.0057582855224609375,0.005000591278076172,6.06622314453125,2,True,12
NeuralNetFastAI_FULL,0.5686095950111049,,average_precision,0.3085167407989502,,13.047011137008667,0.3085167407989502,,13.047011137008667,1,True,20
LightGBMXT,0.5599458957425258,0.5599458957425258,average_precision,0.23118114471435547,0.16457819938659668,16.64844274520874,0.23118114471435547,0.16457819938659668,16.64844274520874,1,True,1
NeuralNetTorch,0.555436118204261,0.555436118204261,average_precision,0.05938601493835449,0.05091524124145508,64.06556034088135,0.05938601493835449,0.05091524124145508,64.06556034088135,1,True,10
XGBoost,0.5495543586273403,0.5495543586273404,average_precision,0.05309033393859863,0.0476992130279541,4.791104555130005,0.05309033393859863,0.0476992130279541,4.791104555130005,1,True,9
CatBoost,0.5482183526102512,0.5482183526102512,average_precision,0.04161524772644043,0.011801719665527344,25.879063844680786,0.04161524772644043,0.011801719665527344,25.879063844680786,1,True,5
LightGBMLarge,0.5465248396211831,0.5465248396211831,average_precision,0.12636518478393555,0.13601112365722656,7.558124780654907,0.12636518478393555,0.13601112365722656,7.558124780654907,1,True,11
LightGBM,0.5415460394534805,0.5415460394534805,average_precision,0.08152341842651367,0.04928183555603027,2.870253324508667,0.08152341842651367,0.04928183555603027,2.870253324508667,1,True,2
NeuralNetFastAI,0.54041841287199,0.54041841287199,average_precision,0.26454901695251465,0.17394161224365234,58.88142466545105,0.26454901695251465,0.17394161224365234,58.88142466545105,1,True,8
RandomForestEntr,0.5153214672077937,0.5153214672077937,average_precision,0.27004337310791016,0.20873641967773438,47.710787534713745,0.27004337310791016,0.20873641967773438,47.710787534713745,1,True,4
ExtraTreesGini,0.5118058214032044,0.5118058214032044,average_precision,0.3079030513763428,0.25031399726867676,5.2372965812683105,0.3079030513763428,0.25031399726867676,5.2372965812683105,1,True,6
ExtraTreesEntr,0.5112912607278646,0.5112912607278646,average_precision,0.3323686122894287,0.20229268074035645,5.329015016555786,0.3323686122894287,0.20229268074035645,5.329015016555786,1,True,7
RandomForestGini,0.5034769191784576,0.5034769191784576,average_precision,0.32892894744873047,0.20325636863708496,37.962929248809814,0.32892894744873047,0.20325636863708496,37.962929248809814,1,True,3
