"period","label","model_key","excl_rate","weighting","cagr","vol","sharpe","max_dd","calmar","es_975","es_99"
"full","Benchmark MW (Full Universe)","bench","none","mw",0.1574,0.1646,0.7958,-0.4503,0.3496,-0.1102,-0.1359
"full","Benchmark EW (Full Universe)","bench","none","ew",0.1152,0.2075,0.4889,-0.5225,0.2204,-0.1457,-0.1841
"full","USMV Proxy MW (Bottom Quintile Vol)","usmv_proxy","none","mw",0.1155,0.131,0.6778,-0.4225,0.2733,-0.0982,-0.1133
"full","USMV Proxy EW (Bottom Quintile Vol)","usmv_proxy","none","ew",0.1082,0.1397,0.5973,-0.4711,0.2297,-0.1124,-0.1416
"full","QUAL Proxy MW (Top Quintile Quality)","qual_proxy","none","mw",0.1658,0.1651,0.838,-0.3788,0.4377,-0.1035,-0.1268
"full","QUAL Proxy EW (Top Quintile Quality)","qual_proxy","none","ew",0.1301,0.1874,0.5922,-0.4601,0.2828,-0.1294,-0.1666
"full","C1 MW | Best CSI (M3-Raw, Opt)","c1_csi","opt","mw",0.1658,0.178,0.7892,-0.4114,0.4029,-0.1198,-0.1525
"full","C3 EW | Best CSI (M3-Raw, Opt)","c1_csi","opt","ew",0.1362,0.1864,0.6232,-0.4509,0.3022,-0.1265,-0.1565
"full","C1 MW | Best Bucket (B1-Fund, Opt)","c1_bucket","opt","mw",0.1641,0.1709,0.8059,-0.4114,0.3988,-0.1127,-0.1385
"full","C3 EW | Best Bucket (B1-Fund, Opt)","c1_bucket","opt","ew",0.1333,0.1852,0.6121,-0.4857,0.2745,-0.1263,-0.1586
"full","C1 MW | Best Combined (B1 u S-Raw, Opt)","c1_comb","opt","mw",0.1574,0.1708,0.7724,-0.4114,0.3826,-0.1126,-0.1386
"full","C3 EW | Best Combined (B1 u S-Raw, Opt)","c1_comb","opt","ew",0.1306,0.184,0.6017,-0.4877,0.2678,-0.1265,-0.159
