,importance,stddev,p_value,n,p99_high,p99_low
expvol_quick_ratio,-5.096276456597604e-05,3.5772161899606076e-05,0.9833221147103929,5,2.2692611209133177e-05,-0.00012461814034108525
expmean_asset_turnover,-5.2946108612150765e-05,3.44117884737018e-05,0.9868582111138245,5,1.790823947666266e-05,-0.00012380045670096418
roll_trend_3y_cash_pct_act,-5.3562362323211764e-05,4.171426005269207e-05,0.9772926724799738,5,3.2327875677625854e-05,-0.00013945260032404937
roll_min_3y_net_debt_ebitda,-5.5119700165318084e-05,7.054859404454e-05,0.9222236710650864,5,9.014083005758263e-05,-0.0002003802303882188
expmean_quick_ratio,-5.548673594162335e-05,4.3489265822683916e-05,0.9768708501354678,5,3.4058263472814385e-05,-0.0001450317353560611
roll_sd_3y_leverage,-5.643689559120535e-05,5.838444201270565e-05,0.951635656559465,5,6.377747747170042e-05,-0.0001766512686541111
expmean_current_ratio,-5.683785934023078e-05,0.00012062249663864819,0.8242585861381312,5,0.0001915255284188221,-0.00030520124709928364
expmean_roic,-5.8707034500926623e-05,5.393310048081576e-05,0.964164416936361,5,5.234196482373967e-05,-0.00016975603382559293
roll_sd_5y_net_debt_ebitda,-5.901914314743184e-05,6.953060974044654e-05,0.9347320196661366,5,8.41453433233021e-05,-0.00020218362961816578
roll_sd_3y_asset_turnover,-6.498769236817914e-05,6.741072451989919e-05,0.9513210723283726,5,7.381192113352036e-05,-0.00020378730586987864
roll_max_3y_leverage,-6.516515571053372e-05,6.897032143326661e-05,0.9489106084101041,5,7.684568939170941e-05,-0.00020717600081277684
expmean_roa,-6.606733717016145e-05,5.4067388242558466e-05,0.9738419676141595,5,4.525816251198719e-05,-0.0001773928368523101
wcap_ratio,-7.06093225052884e-05,8.705078805524178e-05,0.9280396574059703,5,0.00010862945327020725,-0.00024984809828078406
altman_z,-7.136160125049695e-05,0.00010104098045161139,0.9052879745538678,5,0.0001366831740341317,-0.0002794063765351256
expvol_mkt_to_book,-7.499707174782878e-05,4.5548989777978786e-05,0.9894140025383036,5,1.8788927758971532e-05,-0.00016878307125462908
interact_cov_rate,-8.52250192829862e-05,0.00011463532995444052,0.9141156692320873,5,0.0001508107095218454,-0.0003212607480878178
compr_inc_ratio,-8.774990468072286e-05,6.229624693692344e-05,0.9827380815140745,5,4.0518928788037115e-05,-0.00021601873814948284
expmean_std_debt_pct,-8.812516411176308e-05,0.00017927428930297523,0.8332983626726906,5,0.0002810030753970627,-0.00045725340362058885
expvol_altman_z2,-9.52088793842787e-05,0.00013338736301148866,0.9071448534224211,5,0.00017943754466565523,-0.00036985530343421264
roll_sd_5y_current_ratio,-9.830630580174305e-05,9.730238393535307e-05,0.9566184593797941,5,0.00010204064758301458,-0.0002986532591865007
ebit_roa,-0.00010315944153937995,6.110430086722958e-05,0.9902404250973398,5,2.2655158497434936e-05,-0.00022897404157619483
roll_sd_3y_cash_pct_act,-0.0001033593771351482,7.228671945017345e-05,0.9835063758206235,5,4.547997732139787e-05,-0.00025219873159169426
