,importance,stddev,p_value,n,p99_high,p99_low
roll_sd_3y_interest_cov,-5.3148782136336335e-05,3.495216897927868e-05,0.9863638230178097,5,1.88182168823122e-05,-0.00012511578115498488
expvol_current_ratio,-5.3851817549688263e-05,2.4452790808981435e-05,0.9960478897607312,5,-3.5031833005097704e-06,-0.00010420045179886675
expmean_ocf_margin,-5.4068065358525705e-05,2.4981719206888086e-05,0.9957985380356384,5,-2.630360227490063e-06,-0.00010550577048956135
roll_max_3y_ocf_per_share,-5.4954422921760224e-05,5.009719394178589e-05,0.964885948726025,5,4.8196391821180926e-05,-0.00015810523766470136
roll_min_3y_log_at,-5.5098899005834315e-05,3.616831681344754e-05,0.9864418615419188,5,1.9372165212317273e-05,-0.0001295699632239859
roll_mean_5y_leverage,-5.561807778278194e-05,3.384090192569036e-05,0.9893514806839069,5,1.40608070131853e-05,-0.00012529696257874919
expmean_quick_ratio,-5.572068939374564e-05,1.710268348268791e-05,0.9990565965220594,5,-2.0506027718684745e-05,-9.093535106880654e-05
expmean_roa,-5.6401516746507066e-05,6.239310724256205e-05,0.9433376326937414,5,7.206675343031449e-05,-0.00018486978692332863
interact_nde_hyspr,-5.7593079258366765e-05,3.912763453564039e-05,0.9849111252608592,5,2.297126105189752e-05,-0.00013815741956863106
roll_trend_5y_earn_yld,-6.068054983927595e-05,5.5839168227066045e-05,0.9640071876450247,5,5.4293069319575596e-05,-0.0001756541689981275
expvol_roic,-6.15234216571725e-05,7.002302968531518e-05,0.9395456078714697,5,8.265496428601291e-05,-0.00020570180760035793
expvol_ebit_roa,-6.216122408202463e-05,6.788198745140548e-05,0.9450066059789806,5,7.760872630919225e-05,-0.0002019311744732415
expmean_altman_z2,-6.23268667661936e-05,9.391652548229476e-05,0.8940082574954337,5,0.0001310485572661799,-0.0002557022907985671
roll_min_3y_leverage,-6.28147699595738e-05,4.9325310810669146e-05,0.97674541753337,5,3.874672674783937e-05,-0.00016437626666698698
expvol_ni_per_emp,-6.466055291611816e-05,7.399782782431706e-05,0.9387969306442683,5,8.770199733282066e-05,-0.00021702310316505698
roll_trend_5y_log_mkvalt,-6.670395107544191e-05,8.401111582083291e-05,0.9247567797744675,5,0.00010627609755667087,-0.0002396839997075547
expmean_log_at,-6.895000442799226e-05,3.740509832600041e-05,0.9927045805825276,5,8.067610018642793e-06,-0.00014596761887462732
ebit_roa,-7.691270706335906e-05,4.838094683048078e-05,0.988151301120654,5,2.2704331156348957e-05,-0.00017652974528306706
roll_trend_5y_interest_cov,-8.067279061452215e-05,7.173102562540266e-05,0.9671403151774276,5,6.7022382576316e-05,-0.0002283679638053603
roll_sd_3y_asset_turnover,-8.110639061731373e-05,6.181098631132602e-05,0.9786803788873984,5,4.616328451632657e-05,-0.00020837606575095402
roll_sd_5y_interest_cov,-8.488134701176709e-05,5.841853031587558e-05,0.9842969550206453,5,3.540321433851597e-05,-0.00020516590836205015
expvol_mkt_to_book,-8.6889432518511e-05,5.611345736386312e-05,0.9871200507575422,5,2.8648951764084483e-05,-0.0002024278168011065
altman_z,-8.739009901970185e-05,8.053245699936817e-05,0.9638723215674603,5,7.842734301884057e-05,-0.0002532075410582443
roll_autocorr_5y_interest_cov,-9.256288777494958e-05,3.072060395231662e-05,0.9987355065941262,5,-2.930873963326002e-05,-0.00015581703591663915
earn_yld,-0.00010775287618072226,0.0001256123516299947,0.9362282204997434,5,0.00015088469197263823,-0.00036639044433408273
compr_inc_ratio,-0.00012969450071964594,8.162657024327397e-05,0.9881309497600334,5,3.8375735610350625e-05,-0.0002977647370496425
