,importance,stddev,p_value,n,p99_high,p99_low
yoy_cash_pct_act,-4.901333373097394e-06,7.919105696439268e-06,0.8807089051123501,5,1.1404214709543521e-05,-2.1206881455738308e-05
roll_trend_3y_roic,-5.007605657714187e-06,4.035617953853314e-06,0.9749535181985679,5,3.301787487437504e-06,-1.3316998802865877e-05
yoy_earn_yld,-5.0078353371452165e-06,5.0111207539717615e-06,0.955422866616325,5,5.310131556331893e-06,-1.5325802230622325e-05
accel_rental_ratio,-5.1515361814580276e-06,4.383160368883392e-06,0.9708475459145319,5,3.8734515997872465e-06,-1.41765239627033e-05
roll_autocorr_3y_roic,-5.190083951389646e-06,2.065927429060768e-06,0.9975320041502003,5,-9.363108208019806e-07,-9.44385708197731e-06
roll_max_3y_log_at,-5.219794926047961e-06,5.654285505039935e-06,0.9460339588913725,5,6.422457079360069e-06,-1.686204693145599e-05
yoy_log_mkvalt,-5.2762821205476484e-06,1.1730738808350469e-05,0.8142790966444505,5,1.8877471221886637e-05,-2.9430035462981934e-05
roll_trend_3y_gross_margin,-5.305991514847896e-06,6.462057775904214e-06,0.9298789381088028,5,7.99947476086894e-06,-1.8611457790564732e-05
roll_autocorr_3y_net_debt_ebitda,-5.328855180852798e-06,4.88354856865459e-06,0.9643944054990123,5,4.726438819821274e-06,-1.538414918152687e-05
acct_mom_earn_yld,-5.388036460551859e-06,7.778703303396841e-06,0.9018292127382842,5,1.0628421154247402e-05,-2.140449407535112e-05
roll_mean_3y_ebitda_margin,-5.399489379764866e-06,9.29046588282386e-06,0.8682076145717004,5,1.372970828085398e-05,-2.452868704038371e-05
yoy_current_ratio,-5.4317651029922585e-06,5.854362943038334e-06,0.9466669695968694,5,6.622449112618547e-06,-1.7485979318603065e-05
expvol_current_ratio,-5.517601087512425e-06,4.818103658692544e-06,0.9687042563935444,5,4.402940939005013e-06,-1.5438143114029864e-05
peak_drop_roe,-5.51967684603305e-06,3.906112702409161e-06,0.9829040081438357,5,2.5230631964423345e-06,-1.3562416888508435e-05
roll_max_5y_ebitda_margin,-5.549507767144135e-06,1.7306699468404038e-05,0.7434964400353998,5,3.0085225642306852e-05,-4.1184241176595124e-05
roa,-5.576050860289783e-06,8.68438150334927e-06,0.8877913495514148,5,1.230521068601453e-05,-2.3457312406594093e-05
yoy_capex_intensity,-5.600066732114328e-06,7.934505338144811e-06,0.9051686901024611,5,1.0737189425643969e-05,-2.1937322889872626e-05
roll_autocorr_3y_earn_yld,-5.601478338013166e-06,9.666559903317702e-06,0.8676096608161196,5,1.4302102108974277e-05,-2.550505878500061e-05
fedfunds,-5.627673705888014e-06,4.758903674167803e-06,0.9713382695676407,5,4.170974734262241e-06,-1.542632214603827e-05
roll_mean_3y_interest_cov,-5.662394071026533e-06,6.585812464605866e-06,0.9365501484622081,5,7.897884819198574e-06,-1.9222672961251642e-05
term_spread,-5.667455621893858e-06,5.839360903644822e-06,0.9521078176513931,5,6.355869187255486e-06,-1.7690780431043204e-05
accel_leverage,-5.903110389549049e-06,2.5413442816019348e-06,0.996728492468881,5,-6.704473886199171e-07,-1.1135773390478181e-05
roll_max_5y_earn_yld,-5.9186466369043345e-06,6.780747706683753e-05,0.5726164546782508,5,0.00013369788584264417,-0.00014553517911645284
peak_drop_roa,-5.976761619441717e-06,6.358338590916641e-06,0.948283038267809,5,7.115145420834223e-06,-1.9068668659717657e-05
roll_trend_5y_cash_pct_act,-5.991335292598876e-06,6.9193101073771655e-06,0.9375377474650327,5,8.255619853519612e-06,-2.0238290438717362e-05
roll_autocorr_3y_accruals_ratio,-6.002218587375374e-06,7.474048168713167e-06,0.9265165030254733,5,9.386949894328757e-06,-2.1391387069079505e-05
roll_trend_3y_ebitda_margin,-6.041465376394051e-06,4.703266547852457e-06,0.9773179973344135,5,3.642625451686099e-06,-1.57255562044742e-05
cash_pct_act,-6.09558389796927e-06,1.6818106698031707e-05,0.7684267830237775,5,2.853313024421535e-05,-4.072429804015389e-05
yoy_mkt_to_book,-6.132392770696882e-06,3.784835511617015e-06,0.9888510753055969,5,1.660635859708563e-06,-1.3925421401102326e-05
accel_earn_yld,-6.171814524003061e-06,4.755453732772247e-06,0.9779864633891469,5,3.619730439130485e-06,-1.5963359487136608e-05
roll_autocorr_3y_log_at,-6.405017426192039e-06,3.245895897630311e-06,0.9942103074976926,5,2.7832709007771205e-07,-1.3088361942461791e-05
roll_autocorr_3y_interest_cov,-6.51166090464006e-06,2.7006016044696276e-06,0.9971378894350226,5,-9.51084874756226e-07,-1.2072236934523893e-05
peak_drop_wcap_ratio,-6.568227139913674e-06,2.4732249806246316e-06,0.9979839659333956,5,-1.4758227212056038e-06,-1.1660631558621743e-05
roll_autocorr_3y_cash_pct_act,-6.603822673634241e-06,2.9623862709307407e-06,0.996213965438258,5,-5.042283972583702e-07,-1.2703416950010112e-05
roll_autocorr_3y_asset_turnover,-6.7088168487883236e-06,7.897338604518792e-06,0.9348465817840373,5,9.551912490735147e-06,-2.2969546188311796e-05
yoy_accruals_ratio,-6.81246693814419e-06,2.8579422090406227e-06,0.997017585014144,5,-9.279244287704173e-07,-1.2697009447517964e-05
yoy_log_at,-6.828211000531325e-06,2.3416842039657135e-05,0.7250225571240965,5,4.138739041427482e-05,-5.504381241533747e-05
expmean_earn_yld,-6.918193930549599e-06,1.7856851254849064e-05,0.7824037394873735,5,2.9849309611097463e-05,-4.368569747219666e-05
peak_drop_earn_yld,-6.950652854609274e-06,1.2291003559295628e-05,0.8626472839387423,5,1.8356693353702877e-05,-3.225799906292142e-05
expmean_roa,-6.971417254564294e-06,3.320593855175188e-05,0.6684028909064544,5,6.140006917833713e-05,-7.534290368746573e-05
accel_reinvest_rate,-7.14614924266499e-06,3.268228859936709e-06,0.9959468680457317,5,-4.168208483320236e-07,-1.3875477636997957e-05
yoy_altman_z,-7.149796385452767e-06,2.8417631176593508e-06,0.9975452807888424,5,-1.2985668488518405e-06,-1.3001025922053693e-05
roll_sd_3y_earn_yld,-7.30804578863431e-06,1.0779586793275382e-05,0.8979409735711434,5,1.4887272408442454e-05,-2.9503363985711074e-05
yoy_wcap_ratio,-7.40264599210505e-06,3.2766513438590126e-06,0.9963888925904061,5,-6.559755869649614e-07,-1.4149316397245138e-05
roll_sd_3y_current_ratio,-7.4383845740655374e-06,1.409659047328266e-05,0.8482930242155958,5,2.1586690046009146e-05,-3.6463459194140225e-05
roll_max_3y_earn_yld,-7.447836666063523e-06,2.5288615245159576e-05,0.726919691110687,5,4.4621771649527145e-05,-5.951744498165419e-05
accel_wcap_ratio,-7.504829283422332e-06,3.3487543430779945e-06,0.9962843402952075,5,-6.096978063210036e-07,-1.439996076052366e-05
roll_max_5y_gross_margin,-7.815249909937094e-06,1.882453526039209e-05,0.7971090857073813,5,3.094472837393736e-05,-4.657522819381155e-05
